occurrence_count	color_value	files
2	rgba(0, 214, 255, 0.08)	frontend/styles/ai-studio-model-picker.css
2	rgba(10, 12, 20, 0.85)	frontend/styles/ai-studio-canvas.css
2	rgba(11, 161, 199, 0.08)	frontend/styles/ai-studio-layout.css
2	rgba(110, 231, 183, 0.6)	frontend/styles/ai-studio-modals.css
2	rgba(12, 15, 22, 0.6)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-canvas.css
2	rgba(12, 15, 22, 0.7)	frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-history.css
2	rgba(12, 15, 22, 0.92)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-canvas.css
2	rgba(20, 22, 28, 0.95)	frontend/styles/ai-studio-layout.css
2	rgba(201, 205, 214, 0.02)	frontend/styles/ai-studio-layout.css
2	rgba(201, 205, 214, 0.26)	frontend/styles/ai-studio-controls.css
2	rgba(201, 205, 214, 0.35)	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-canvas.css
2	rgba(223, 232, 245, 0.7)	frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-layout.css
2	rgba(24, 35, 38, 0.8)	frontend/styles/ai-studio-prompt-actions.css
2	rgba(241, 84, 84, 0.2)	frontend/styles/ai-studio-layout.css
2	rgba(241, 84, 84, 0.25)	frontend/styles/ai-studio-layout.css
2	rgba(245, 185, 66, 0.25)	frontend/styles/ai-studio-controls.css
2	rgba(255, 116, 116, 0.18)	frontend/styles/ai-studio-history.css, frontend/styles/ai-studio-canvas.css
2	rgba(255, 116, 116, 0.7)	frontend/styles/ai-studio-canvas.css
2	rgba(255, 120, 120, 0.6)	frontend/styles/ai-studio-modals.css
2	rgba(255, 124, 124, 0.12)	frontend/styles/ai-studio-canvas.css
2	rgba(255, 255, 255, 0.02)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
2	rgba(255, 255, 255, 0.4)	frontend/styles/ai-studio-reference-properties.css
2	rgba(255, 255, 255, 0.7)	frontend/styles/ai-studio-modals.css
2	rgba(255, 255, 255, 0.8)	frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-canvas.css
2	rgba(255, 80, 80, 0.15)	frontend/styles/ai-studio-modals.css
2	rgba(255, 90, 90, 0.12)	frontend/styles/ai-studio-modals.css
2	rgba(255, 90, 90, 0.2)	frontend/styles/ai-studio-modals.css
2	rgba(255, 90, 90, 0.35)	frontend/styles/ai-studio-modals.css
2	rgba(30, 64, 175, 0.15)	frontend/styles/ai-studio-layout.css
2	rgba(33, 47, 50, 0.503)	frontend/styles/ai-studio-prompt-actions.css
2	rgba(37, 169, 191, 0.08)	frontend/styles/ai-studio-model-picker.css, frontend/styles/ai-studio-controls.css
